#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#this was encoded in UTF-8

qomi;Qom'i;Qom'i;Qom'i;;Qom'i;;;;;;;;;x
qomi_desc;This character is an adherent of the Ayatollahs of the Qom'i Hawza of Ithna'ashariyya;;;;;;;;;;;;;x
najafi;Najaf'i;Najaf'i;Najaf'i;;Najaf'i;;;;;;;;;x
najafi_desc;This character is an adherent of the Ayatollahs of the Najaf'i Hawza of Ithna'ashariyya;;;;;;;;;;;;;x
EVTTOOLTIP_MSI_00;You embrace the Qom'i school of thought.;Vous vous joignez à l'école théologique Qom'i.;Ihr verschreibt Euch der Denkweise der Qom'i.;;Abrazáis la escuela teológica Qom'i.;;;;;;;;;x
EVTDESC_MSI_00;The Qom'i Hawza holds to an absolutist interpretation of the Wilayat al-Faqih, arguing that Islamic Jurists should have rule over the political sphere as well as that of religious law.;;;;;;;;;;;;;x
EVTOPTA_MSI_00;This is the right path.;C'est la bonne voie.;Dies ist der rechte Pfad.;;Este es el camino correcto.;;;;;;;;;x
EVTTOOLTIP_MSI_01;You embrace the Najaf'i school of thought.;Vous vous joignez à l'école théologique Najaf'i.;Ihr verschreibt Euch der Denkweise der Najaf'i.;;Abrazáis la escuela teológica Najaf'i.;;;;;;;;;x
EVTDESC_MSI_01;The Najaf'i Hawza holds to a limited interpretation of the Wilayat al-Faqih, arguing that the power of Islamic Jurists must be limited to matters of religious law and charity, leaving secular power to the rulers.;;;;;;;;;;;;;x
embrace_qomi;Embrace the Qom'i School;Rejoindre l'école Qom'i;Verschreibt Euch den Qomi;;Abrazar la escuela qomi;;;;;;;;;x
embrace_qomi_desc;You embrace the Qom'i school of theology.;;;;;;;;;;;;;x
embrace_najafi;Embrace the Najaf'i School;Rejoindre l'école Salimite;Verschreibt Euch der najafi;;Abrazar la escuela najafi;;;;;;;;;x
embrace_najafi_desc;You embrace the Najaf'i school of theology.;;;;;;;;;;;;;x
opinion_rejected_school;Rejected School;École rejetée;Lehnte diese Schule ab;;Escuela rechazada;;;;;;;;;x
EVTDESC_MSI_03;[From.GetTitledFirstName] is a follower of the Qom'i school of theology.;;;;;;;;;;;;;x
EVTOPTA_MSI_03;Yes.;;;;;;;;;;;;;x
