#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
count_proletcult;Commissar;;;;;;;;;;;;;x
count_female_proletcult;Commissar;;;;;;;;;;;;;x
duke_proletcult;High Commissar;;;;;;;;;;;;;x
duke_female_proletcult;High Commissar;;;;;;;;;;;;x;
duchy_of_proletcult;High Commissariate of;;;;;;;;;;;;x;
king_proletcult;Commissar-General;;;;;;;;;;;;;x
king_female_proletcult;Commissar-General;;;;;;;;;;;;;x
emperor_proletcult:Secretary-General
emperor_female_proletcult:Secretary-General

county_of_proletcult;Commune of;;;;;;;;;;;;;x
duchy_of_proletcult;Commissariate of
kingdom_of_proletcult;District of;;;;;;;;;;;;;x
empire_of_proletcult;Union of;Union of;Union of;;Union of;;;;;;;;;x

job_spiritual_proletcult;Partorg;;;;;;;;;x
job_spymaster_proletcult;Politruk;;;;;;;;;x
