###ÄNSI###

hold_blot;Hold a Great Bonfire;Tenir un grand blót ;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x
hold_blot_desc;Hold a great bonfire together with your vassals in the name of the Queen. Ritual costumes are donned and the guilty cast into the flames of her Eternal Majesty's judgement...;Tenez un grand blót accompagné de vos vassaux et offrez des sacrifices aux dieux en remerciement pour les bonnes récoltes et pour le succès sur le champ de bataille. Cela ne se fait qu'une fois tous les neuf ans.;Haltet mit Euren Vasallen ein Blót ab und dankt den Göttern für gute Ernten und Erfolge auf dem Schlachtfeld. Dies kann nur jedes neunte Jahr durchgeführt werden.;;Celebrar una gran mancha junto con tus vasallos y ofrecer sacrificios a los dioses por buenas cosechas y el éxito en el campo de batalla. Esto sólo puede hacerse cada nueve años.;;;;;;;;;x
held_blot_modifier;Sacrificed to the Queen;Offert en sacrifice aux dieux;Den Göttern geopfert;;Sacrificado a los Dioses;;;;;;;;;x
prepare_blot;You begin preparations for the bonfire.\n;Vous commencez les préparatifs pour le blót.\n;Ihr beginnt mit Vorbereitungen für das Opfer.\n;;Empiezas la preparación de la mancha.\n;;;;;;;;;x
blot_begins;The victim is carried to the firewood.;Le bourreau prépare sa corde.;Der Henker bereitet das Seil vor.;;El verdugo prepara su cuerda.;;;;;;;;;x
feast_begins;Vassal opinion increases by §G+15§! for §Y12§! months.\nYou move inside the large feast hall...;L'opinion d'un vassal augmente de §G+15§! pendant §Y12§! mois.\nVous pénétrez dans la grande salle des fêtes...;Die Meinung Eurer Vasallen von Euch erhöht sich um §G+15§! für §Y12§! Monate.\nIhr schlendert durch die riesige Trinkhalle ...;;Te mueves a dentro de la gran sala de fiestas.;;;;;;;;;x
EVTDESC_TOG_600;You have sent out summons to all of your vassals for the bonfire. Those that have been baptized or profess to follow the teachings of the prophet will have to offer gold to be exempted from this magnificent feast.;Vous avez envoyé un avis de convocation à tous vos vassaux pour le blót. Ceux qui ont été baptisés ou qui affirment suivre l'enseignement du prophète devront offrir de l'or pour être exemptés de ce festin majestueux. ;Ihr habt all Eure Vasallen zum Blót zusammengerufen. Diejenigen, die getauft wurden oder den Lehren des Propheten folgen, müssen Gold anbieten, um von diesem großartigen Festschmaus fernbleiben zu können.;;Has enviado citaciones a todos tus vasallos para la mancha. Los que han sido bautizados o profesan seguir las enseñanzas del profeta tendrán que ofrecer oro para quedar exentos de esta magnífica fiesta.;;;;;;;;;x
EVTTOOLTIP_TOG_601;Summoned to bonfire.;Convocation au blót;Zur Teilnahme am Blót gerufen.;;Convocado a mancha.;;;;;;;;;x
EVTTOOLTIP_TOG_602;Exempted from bonfire.;Exemption de blót;Vom Blót ausgeschlossen.;;Exentos de mancha.;;;;;;;;;x
EVTDESC_TOG_601;Your wise liege, [From.GetTitledFirstName], has summoned you and [From.GetHerHis] other vassals to a bonfire. There you will worship and give sacrifice to the Queen before taking part in a great feast where you drink to her name.;Votre sage [From.GetLordLady] lige, [From.Get_le_Title][From.GetTitledFirstName], vous a convoqué[Root.GetNoneE], vous et ses autres vassaux, pour assister au blót. Vous y vénérerez les dieux et vous leur ferez des offrandes avant de prendre part à un grand festin où vous boirez en leur nom.;Euer weiser Lehnsherr, [From.GetTitledFirstName], hat Euch und [From.GetHerHis]e anderen Vasallen zu einem Blót eingeladen. Dort werdet Ihr den Göttern huldigen und ihnen Opfer bringen, bevor Ihr an einem gewaltigen Gelage teilnehmt, wo Ihr auf ihren Namen anstoßen werdet.;;Tu sabio señor, [From.GetTitledFirstName], te ha convocado a ti y a [From.GetHerHis] otros vasallos a una mancha. Allí podrás adorar y dar sacrificio a los dioses antes de tomar parte en una gran fiesta donde se bebe en su nombre.;;;;;;;;;x
EVTOPTA_TOG_601;I wouldn't miss it.;Je ne veux pas manquer ça.;Das will ich nicht verpassen.;;No me lo perdería.;;;;;;;;;x
EVTDESC_TOG_602;Your liege, [From.GetTitledFirstName], remains trapped in [From.GetHerHis] heathen ways, and now [From.GetSheHe] has summoned all of [From.GetHerHis] vassals to a bonfire where [From.GetSheHe] intends to give sacrifice to [From.GetHerHis] foul goddess. Since you do not practice their heathen religion, you will be expected to contribute gold in order to be exempted from this ceremony.;Votre [From.GetLordLady] lige, [From.Get_le_Title][From.GetTitledFirstName], demeure prisonni[From.GetErEre] de ses mœurs païennes et a convoqué tous ses vassaux à assister au blót lors duquel [From.GetIlElle] compte faire des offrandes à ses dieux païens. Puisque vous ne pratiquez pas leur religion païenne, vous devrez donner de l'or pour être exempté de cette cérémonie. ;Euer Lehnsherr, [From.GetTitledFirstName], ist weiterhin gefangen in [From.GetHerHis]en ketzerischen Pfaden und [From.GetSheHe] hat nun all [From.GetHerHis]e Vasallen zu einem Blót herbeigeordert, bei dem [From.GetSheHe] [From.GetHerHis]en heidnischen Göttern Opfergaben darbringen will. Da Ihr diese heidnische Religion nicht praktiziert, wird erwartet, dass Ihr Gold beisteuert, um Euch von dieser Zeremonie freizukaufen.;;Tu señor, [From.GetTitledFirstName], sigue atrapado en [From.GetHerHis] formas paganas, y ahora [From.GetSheHe] ha convocado a todos [From.GetHerHis] vasallos a una mancha donde [From.GetSheHe] tiene la intención de dar sacrificio a [From.GetHerHis] dioses paganos. Dado que no practicas su religión pagana, se espera que contribuyas con oro con el fin de quedar exento de esta ceremonia.;;;;;;;;;x
EVTDESC_TOG_603;[From.GetTitledFirstName], your vassal, is stubborn in [From.GetHerHis] ways and speaks only of the mercy of [From.Religion.GetRandomGodNameCap], but [From.GetSheHe] has wisely decided to offer you some gold to be exempted from the bonfire.;[From.Get_Le_Title][From.GetTitledFirstName], votre vassal[From.GetNoneE], s'entête et ne parle que de la miséricorde que [From.Religion.GetRandomGodName] lui accorde. Cependant, [From.GetIlElle] a sagement décidé de vous offrir de l'or pour se libérer de l'obligation d'assister au blót. ;[From.GetTitledFirstName], Euer Vasall, ist stur und spricht nur noch von [From.GetHerHis]em falschen Glauben. [From.Religion.GetRandomGodNameCap] soll angeblich gnädig sein. Welch ein Unsinn. Doch wenigstens hat [From.GetSheHe] in [From.GetHerHis]er Weisheit beschlossen, Euch etwas Gold anzubieten, um dem Blót fernbleiben zu können.;;[From.GetTitledFirstName], tu vasallo, es terco en [From.GetHerHis] modos y solo habla de la misericordia de [From.Religion.GetRandomGodNameCap], pero [From.GetSheHe] ha decidido sabiamente ofrecerte un poco de oro para quedar exento de la mancha.;;;;;;;;;x
EVTDESC_TOG_636;Despite having sworn you fealty, [From.GetTitledFirstName] refuses to offer gold in order to be exempted from the bonfire! According to [From.GetFirstName], [From.Religion.GetRandomGodName] would not forgive [From.GetHerHim] if [From.GetSheHe] contributed as much as a single copper to a heathen festival.;Malgré son serment, [From.Get_le_Title][From.GetTitledFirstName] refuse de vous offrir de l'or afin de se libérer de l'obligation d'assister au blót ! Selon [From.GetIlElle], [From.Religion.GetRandomGodName] ne lui pardonnerait pas [From.GetSilSielle] donnait ne serait-ce qu'une seule pièce de cuivre à une 'fête païenne'.  ;Trotz des Treueschwurs Euch gegenüber weigert sich [From.GetTitledFirstName], Euch Gold anzubieten, um dem Blót fernbleiben zu können! Laut [From.GetFirstName] würde [From.Religion.GetRandomGodName] es [From.Getihmihr] nie verzeihen, wenn [From.GetSheHe] auch nur einen einzigen Kupferschilling zu einem "ketzerischen Fest" beitragen würde.;;A pesar de haberte jurado lealtad, ¡[From.GetTitledFirstName] se niega a ofrecer oro para quedar exento de la mancha!. Según [From.GetFirstName], [From.Religion.GetRandomGodName] no perdonará a [From.GetHerHim] si [From.GetSheHe] ha contribuido con un solo cobre para una fiesta pagana.;;;;;;;;;x
EVTDESC_TOG_604;The guests have arrived, and the time has come for the bonfire to begin! You gather in the center of the square, and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow, the blood is sprinkled on a statue of the queen, as well as on the worshipers themselves.;Les invités sont arrivés et il est temps de commencer le blót ! Vous vous rassemblez devant le temple et commencez par offrir des animaux en sacrifice aux dieux. Tandis qu'on prépare leur viande pour le festin qui doit suivre, on arrose de leur sang les statues d'Odin, de Thor, de Freyr et des autres dieux, ainsi que les adorateurs eux-mêmes.;Die Gäste sind angekommen und die Zeit für das Blót ist gekommen! Alle versammeln sich außerhalb des Tempels und man beginnt mit den Tieropfern an die Götter. Während ihr Fleisch für das nachfolgende Gelage vorbereitet wird, wird ihr Blut auf die Statuen von Odin, Thor, Freyr und die anderen Götter gespritzt und auch auf die Betenden selbst.;;Los invitados han llegado, y ¡ha llegado el momento de que la mancha comience! Te reúnes fuera del templo, y comienzas ofreciendo animales como sacrificio a los dioses. Mientras se prepara la carne para la fiesta que va a seguir, la sangre salpica las estatuas de Odín, Thor, Freyr y los otros dioses, así como a los mismísimos fieles.;;;;;;;;;x
=EVTDESC_TOG_605;The time has come for the bonfire held by [From.GetTitledFirstName] to begin! You gather on the frozen waters, and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow, the blood is sprinkled on a statue of the queen, as well as on the worshipers themselves.;Il est temps de commencer le blót tenu par [From.Get_le_Title][From.GetTitledFirstName] ! Vous vous rassemblez devant le temple et commencez par offrir des animaux en sacrifice aux dieux. Tandis qu'on prépare leur viande pour le festin qui doit suivre, on arrose de leur sang les statues d'Odin, de Thor, de Freyr et des autres dieux, ainsi que les adorateurs eux-mêmes.;Die Zeit für das von [From.GetTitledFirstName] veranstaltete Blót ist gekommen! Alle versammeln sich außerhalb des Tempels und man beginnt mit den Tieropfern an die Götter. Während ihr Fleisch für das nachfolgende Gelage vorbereitet wird, wird ihr Blut auf die Statuen von Odin, Thor, Freyr und die anderen Götter gespritzt und auch auf die Betenden selbst.;;¡Ha llegado el momento de empezar la mancha celebrada por [From.GetTitledFirstName]!. Te reúnes fuera del templo, y comienzas ofreciendo animales como sacrificio a los dioses. Mientras se prepara la carne para la fiesta que va a seguir, la sangre salpica las estatuas de Odín, Thor, Freyr y los otros dioses, así como a los mismísimos fieles.;;;;;;;;;x
