#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_london;London;London;London;;London;;;;;;;;;x
k_london_adj;Londonian;;Londoner;;;;;;;;;;;x
k_england;England;England;England;;England;;;;;;;;;x
k_england_adj;English;;English;;;;;;;;;;;x
k_york;York;York;York;;York;;;;;;;;;x
k_york_adj;Yorkian;;Yorker;;;;;;;;;;;x
k_wales;Wales;Wales;Wales;;Wales;;;;;;;;;x
k_wales_adj;Welsh;;Welsh;;;;;;;;;;;x
k_scotland;Scotland;Scotland;Scotland;;Scotland;;;;;;;;;x
k_scotland_adj;Scottish;;Scottish;;;;;;;;;;;x
k_ulster;Ulster;Ulster;Ulster;;Ulster;;;;;;;;;x
k_ulster_adj;Ulsterian;;Ulsterner;;;;;;;;;;;x
k_ireland;Ireland;Ireland;Ireland;;Ireland;;;;;;;;;x
k_ireland_adj;Irish;;Irish;;;;;;;;;;;x
k_britain;Britain;Britain;Britain;;Britain;;;;;;;;;x
k_britain_adj;British;;British;;;;;;;;;;;x
