hold_blot;Hold a Great Bonfire;Tenir un grand blót ;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x
hold_blot_desc;Hold a great bonfire together with your vassals in the name of the Queen. Ritual costumes are donned and the guilty cast into the flames of her Eternal Majesty's judgement...;Tenez un grand blót accompagné de vos vassaux et offrez des sacrifices aux dieux en remerciement pour les bonnes récoltes et pour le succès sur le champ de bataille. Cela ne se fait qu'une fois tous les neuf ans.;Haltet mit Euren Vasallen ein Blót ab und dankt den Göttern für gute Ernten und Erfolge auf dem Schlachtfeld. Dies kann nur jedes neunte Jahr durchgeführt werden.;;Celebrar una gran mancha junto con tus vasallos y ofrecer sacrificios a los dioses por buenas cosechas y el éxito en el campo de batalla. Esto sólo puede hacerse cada nueve años.;;;;;;;;;x
held_blot_modifier;Sacrificed to the Queen;Offert en sacrifice aux dieux;Den Göttern geopfert;;Sacrificado a los Dioses;;;;;;;;;x
prepare_blot;You begin preparations for the bonfire.\n;Vous commencez les préparatifs pour le blót.\n;Ihr beginnt mit Vorbereitungen für das Opfer.\n;;Empiezas la preparación de la mancha.\n;;;;;;;;;x
blot_begins;The victim is carried to the firewood.;Le bourreau prépare sa corde.;Der Henker bereitet das Seil vor.;;El verdugo prepara su cuerda.;;;;;;;;;x
feast_begins;Vassal opinion increases by §G+15§! for §Y12§! months.\nYou move inside the large feast hall...;L'opinion d'un vassal augmente de §G+15§! pendant §Y12§! mois.\nVous pénétrez dans la grande salle des fêtes...;Die Meinung Eurer Vasallen von Euch erhöht sich um §G+15§! für §Y12§! Monate.\nIhr schlendert durch die riesige Trinkhalle ...;;Te mueves a dentro de la gran sala de fiestas.;;;;;;;;;x

valinor_vana_preg;Vana's Guidance;;;;;;;;;;;;;x

hunt_for_whale;Embark on Whale Hunt.;;;;;;;;;;;;x
hunt_for_whale_desc;Hunting the great beasts of the sea is something of a rite of passage for many Pelagic men and women, you should consider embarking on a hunt yourself.;;;;;;;;;;;;x
whale_hunt;Set sail and hunt a Whale
recent_whaling;Recent whaling;;;;;;;;;;;;;x

prepare_for_lent;Make special plans for Lent;;;;;;;;;;;;;x
prepare_for_lent_desc;Make preparations for Lent and Easter;;;;;;;;;;;;;x
lent;Observing Lent;;;;;;;;;;;;;x
lent_desc;This character has been observing the religious customs during lent;;;;;;;;;;;;;x
