#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_dublin;Dublin;Dublin;Dublin;;Dublin;;;;;;;;;x
d_dublin_adj;Dubliner;;Dubliner;;;;;;;;;;;x
d_sligo;Sligo;Sligo;Sligo;;Sligo;;;;;;;;;x
d_sligo_adj;Sligoan;;Sligoan;;;;;;;;;;;x
d_the_highlands;Highlands;Highlands;Highlands;;Highlands;;;;;;;;;x
d_the_highlands_adj;Highlander;;Highlander;;;;;;;;;;;x
d_tayside;Tayside;Tayside;Tayside;;Tayside;;;;;;;;;x
d_tayside_adj;Taysider;;Taysider;;;;;;;;;;;x
d_liverpool;Liverpool;Liverpool;Liverpool;;Liverpool;;;;;;;;;x
d_liverpool_adj;Liverpudlian;;Liverpudlian;;;;;;;;;;;x



