obj_buddhist_stop_drinking_title;Stop Drinking;Fini la boisson;Entsagt dem Alkohl;; Deja de beber;;;;;;;;;x
obj_buddhist_stop_drinking_desc;[This.GetTitledFirstName], as a devoted [This.Religion.GetName], is trying to learn to abandon [This.GetHerHis] harmful drinking habits.;[This.GetTitledFirstName], bouddhiste z?, tente d'apprendre ?bandonner son penchant pour la boisson qui lui cause tant de souffrances.;[This.GetTitledFirstName] ist ??zeugter [This.Religion.GetName] und versucht, [This.GetHerHis]e sch?ichen Trinkgewohnheiten abzulegen.;;[This.GetTitledFirstName], como budista devoto/a, trata de aprender a abandonar [This.GetHerHis] da??s h?tos de consumir bebidas alcoh??as.;;;;;;;;;x
obj_buddhist_reject_empty_pleasures_title;Learn to Reject Empty Pleasures;Apprendre ?ejeter les plaisirs inutiles;Lernt, leere Vergn??gen abzulehnen;;Aprender a Rechazar Placeres Vac?;;;;;;;;;x
obj_buddhist_reject_empty_pleasures_desc;[This.GetTitledFirstName], as a devoted [This.Religion.GetName], is trying to learn to reject emply pleasures.;[This.GetTitledFirstName], bouddhiste z?, tente d'apprendre ?ejeter les plaisirs inutiles.;[This.GetTitledFirstName] ist ??zeugter [This.Religion.GetName] und versucht, leere Vergn??gen abzulehnen.;;[This.GetTitledFirstName], como budista devoto/a, trata de aprender a rechazar placeres vac?..;;;;;;;;;x
obj_buddhist_abstain_sexual_excess_title;Learn to Abstain from Excesses of the Flesh;Apprendre ?'abstenir des exc?de la chair;Lernt, fleischlichen Exzessen zu entsagen;; Aprender a abstenerse de impulsos carnales.;;;;;;;;;x
obj_buddhist_abstain_sexual_excess_desc;[This.GetTitledFirstName], as a devoted [This.Religion.GetName], is trying to learn to abstain from excesses of the flesh.;[This.GetTitledFirstName], bouddhiste z?, tente d'apprendre ?'abstenir des exc?de la chair.;[This.GetTitledFirstName] ist ??zeugter [This.Religion.GetName] und versucht, fleischlichen Exzessen zu entsagen.;;[This.GetTitledFirstName], como budista devoto/a, trata de aprender a abstenerse de impulsos carnales.;;;;;;;;;x
obj_buddhist_reject_cruelty_title;Reject Cruelty;Rejeter la cruaut?ehnt Grausamkeit ab;; Rechazar la crueldad;;;;;;;;;x
obj_buddhist_reject_cruelty_desc;[This.GetTitledFirstName], as a devoted [This.Religion.GetName], is trying to learn to reject cruelty.;[This.GetTitledFirstName], bouddhiste z?, tente d'apprendre ?ejeter la cruaut?[This.GetTitledFirstName] ist ??zeugter [This.Religion.GetName] und versucht, Grausamkeit abzulehnen.;; [This.GetTitledFirstName], como budista devoto/a, trata de aprender a rechazar la crueldad.;;;;;;;;;x
obj_buddhist_temperance_food_title;Learn Temperance with Food;Apprendre ?od?r son app?t;Lernt M?gung beim Essen;; Aprender a ser moderado con la comida;;;;;;;;;x
obj_buddhist_temperance_food_desc;[This.GetTitledFirstName], as a devoted [This.Religion.GetName], is trying to learn to eat without excess.;[This.GetTitledFirstName], bouddhiste z?, tente d'apprendre ?anger sans exc?;[This.GetTitledFirstName] ist ??zeugter [This.Religion.GetName] und versucht, beim Essen Ma?zu halten.;; [This.GetTitledFirstName], como budista devoto/a, trata de aprender a dejar de comer en exceso.;;;;;;;;;x
obj_buddhist_reject_greed_title;Learn to Reject the Poison of Greed;Apprendre ?ejeter le poison de l'avarice;Lernt, das Gift der Gier abzulehnen;;Aprender a rechazar el veneno de la codicia;;;;;;;;;x
