####Christians####
high_church;Anglican;;;;;;;;;;;;;x
high_church_DESC;Anglicanism describes itself as being a "via media", or middle way, between Protestantism and the Catholic Church. Following the Event, the highest authority in Anglicanism is the Archbishop of Canterbury.;;;;;;;;;;;;;x
free_church;Free Church;;;;;;;;;;;;;x
free_church_DESC;The Free Churches (Or Nonconformists) are derived from British protestant groups that rejected the authority of the Anglican church after the event. While descended from diverse groups which banded together to survive the post-cataclysm world, the Free Churches share a common belief in the rejection of religious hierarchy, in religious freedom and some degree of pacifism.;;;;;;;;;;;;;x
insular;Insular;;;;;;;;;;;;;x
insular_DESC;The catholic church in Britain and Ireland has since the event drifted from central authority in Rome. As such authority is now invested in the individual archbishops and each diosceses has its own local customs and even saints without a centralised authority to maintain theological unity. In the realm of Ireland, the Scheme on the Rights of the Church and Clergy passed by King Cormac Lí and the Dáil Éireann made the church in Ireland in particular more attached to the nation than to the pope in Rome, leading to some calling it the ‘Celtic church’ owing to influences from the pre-event ‘Ancient British Church’ and the legend of Saint Paul in Britain, lending catholicism in this area a more nationalistic and romanticist outlook than its mainland cousins.;;;;;;;;;;;;x
penitants;Penitants;;;;;;;;;;;;;x
penitants_DESC;"Repent ye and be baptized every one of you in the name of Jesus Christ unto the remission of sins, and ye shall receive the gift of the Holy Spirit"/n The Penitants arose as a fervorous movement after the Event who preach gospels about Jesus sacrifice upon the crucifix. Proclaiming that while Jesus's sacrifice for mankind is noble, the world was not forgiven for its sin and that everyman from the poorest beggars to great kings must live as Jesus did modest and true to God.;;;;;;;;;;;;;x
lutheran;Lutheran;;;;;;;;;;;;;x
lutheran_DESC;“A mighty fortress is our God, A bulwark never failing.” The Lutheran Churches lost many things due to the event, but not their faith. Leading back to Martin Luther, the different churches are mostly united by the four soli: Sola fide, Sola Gratia, Solus Christus and Sola scriptura. This includes Lutheran, United, Reformed, Protestant and other Evangelical Churches. Despite there being a number of theological differences between them, they are united in their defence against the new faiths and their belief in Jesus Christ.;;;;;;;;;;;;;x
laestadian;Laestadian;;;;;;;;;;;;;x
mariavite;Mariavite;;;;;;;;;;;;;x
mariavite_DESC;Mariavite Catholic Church traces its roots to Maria Franciszka, a pre-Event Polish noblewoman and visionary. It is said that during the tumultuous times of the End, She swayed Jezus to give the world another chance, and descended from Heavens to aid mankind with miracles and counsel. As Rome was lost to the infidels and the world collapsed into barbarity, monks and zealots preached the need to return into simple life of Marya of Nazareth, the Mother of God, and Maria Franciszka, the Bride of Christ.\nAs the age of strife finally came to an end and the new Roman Pope's legate safely moved past pagan lands to reach Central Europe, he was shocked to find out that the Primas who greeted him was a woman. His refusal to negotiate with who he saw as illegitimate in apostolic succession, a "pagan in bishop's robes", cemented the new schism within Christianity. For the ages to come, Mariavite Church would follow its own path under the patronage of Visegradian and Europan emperors.;;;;;;;;;;;;;x
calvinist;Calvinist;;;;;;;;;;;;;x
orthodox;Orthodox;;;;;;;;;;;;;x
orthodox_DESC;After the event, the fractured church nearly schismed over issues of succession.  Following this, Patriarchs Nicodemus of Constantinople, Mihai of Romania, and Sergey of Moscow as well as Sephirot, Archbishop of Athens, convened an eccumenical council to decided the emerging theological and practical disputes that had emerged over the centuries of separation and chaos following the event. Rome was considered “in the Jurisdiction of the autonomous church of Rome” it was replaced by Moscow, in addition, the Greek Church would fall under the Jurisdiction of the Eccumenical Patriarchate.  Furthermore, they affirmed the practice of Hesychasm and noted that the ultimate goal of the devout was Theosis, the ultimate union with the divine Christ through intimate knowledge of salvation.;;;;;;;;;;;;;x
catholic;Catholic;;;;;;;;;;;;;x
