###ÄNSI###
e_ottoman_empire;Devlet i-Aliyye;;;;;;;;;;;;;x
e_ottoman_empire_adj;Ottoman;;;;;;;;;;;;;x

sultan;Sultan;;;;;;;;;;;;;x
COMPL_SULTAN;Grand Sultan;;;;;;;;;;;;;x

ottoman_emperor_male;[e_ottoman_empire.GetName] Lineage;;;;;;;;;;;;;x
ottoman_emperor_female;[e_ottoman_empire.GetName] Lineage;;;;;;;;;;;;;x
bloodline_desc_ottoman;Blood of the Founder of the Renewed [e_ottoman_empire.GetName];;;;;;;;;;;;;x

sultan_han;Sultan Han;;;;;;;;;;;;;x
sultan_han_DESC;The Title of Sultan Han is the highest honor bestowed in the [e_ottoman_empire.GetName] reserved only for the Grand Sultan.;;;;;;;;;;;;;x

#Decision

restore_ottoman_empire;Restore [e_ottoman_empire.GetName];;;;;;;;;;;;;x
restore_ottoman_empire_desc;Restore the Sublime State of the Turks.;;;;;;;;;;;;;x

make_istanbul_capital;Make Istanbul Capital;;;;;;;;;;;;;x
make_istanbul_capital_desc;The city of Istanbul has been the historical seat of power for [e_ottoman_empire.GetName], no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Empire.;;;;;;;;;;;;;x
istanbul_capital;Istanbul once more becomes the seat of imperial power.;;;;;;;;;;;;;x

#Events

EVTNAMEottoman.1;Restoration of Western Sham;;;;;;;;;;;;;x
EVTDESCottoman.1;Long ago the Holy land of Ibrahim and Musa was lost to unruly governors and upstart rulers who wish to divide us. But through our efforts Kudüs i-Serif in the Holy city of Jerusalem is once again under our jurisdiction. Pilgrims of all creeds come flocking back to these holy sites under our most magnanimous gaze. This is yet another step to proclaiming the past glory of [e_ottoman_empire.GetName] restored!;;;;;;;;;;;;;x
EVTOPTAottoman.1;The Foul Snakes of Sykes and Picot are no more!;;;;;;;;;;;;;x

EVTNAMEottoman.2;Restoration of Misr;;;;;;;;;;;;;x
EVTDESCottoman.2;The treasured and ancient land of Yusuf was once the breadbasket of the sublime state, but it was lost to a cunning Pasha who swore off his Muslim brothers and flocked to join the conspirators, whose honey words convinced him to proclaim himself "Sultan". This very act of betrayal tore the passage to the Maghrib away from [e_ottoman_empire.GetName]! With the false rulers defeated and the emulators of Firaun crushed, you can not help but bask in the wisdom from Al-Azhar as you contemplate your next move in furthering the glory of [e_ottoman_empire.GetName]!;;;;;;;;;;;;;x
EVTOPTAottoman.2;May future Pashas know our might!;;;;;;;;;;;;;x

EVTNAMEottoman.3;Restoration of Tripolitania;;;;;;;;;;;;;x
