###ÄNSI###

lutheran_opinion;Lutheran Opinion;;;;;;;;;x
insular_opinion;Insular Opinion;;;;;;;;;x
coronite_opinion;Coronite Opinion;;;;;;;;;x
magyar_opinion;Magyar Opinion;;;;;;;;;x
west_slavic_group_opinion;West Slavic Opinion;;;;;;;;;x
baltic_opinion;Baltic Opinion;;;;;;;;;x
swabian_opinion;Schwaben Opinion;;;;;;;;;x
alsatian_opinion;Elsässer Opinion;;;;;;;;;x
bavarian_opinion;Boarn Opinion;;;;;;;;;x
british_opinion;British Opinion;;;;;;;;;x
britannic_opinion;Britannic Opinion;;;;;;;;;x
scandinavian_opinion;Scandinavian Opinion;;;;;;;;;x
gamer_opinion;Game Master Opinion;;;;;;;;;x
groomed_opinion;Groomed Opinion;;;;;;;;;x
genius_opinion;Genius Opinion;;;;;;;;;x
quick_opinion;Quick Opinion;;;;;;;;;x
diligent_opinion;Diligent Opinion;;;;;;;;;x
just_opinion;Just Opinion;;;;;;;;;x
jacobin_opinion;Jacobin Opinion;;;;;;;;;x
patron_the_emperor_opinion;Patron: The Emperor Opinion;;;;;;;;;x
brahmin_opinion;Brahmin Opinion;;;;;;;;;x
vaishnava_opinion;Vaishnava Opinion;;;;;;;;;x
mantramarga_opinion;Mantramarga Opinion;;;;;;;;;x
shaktah_opinion;Shaktah Opinion;;;;;;;;;x
thirumatam_opinion;Thirumatam Opinion;;;;;;;;;x
calvinist_opinion;Reformed Opinion;;;;;;;;;x
